계약년월,매수우위지수
202007,132.9
202008,114.5
202009,93.2
202010,86.9
202011,91.4
202012,108.3
202101,108.0
202102,104.2
202103,82.0
202104,80.3
202105,87.2
202106,98.9
202107,103.3
202108,112.1
202109,106.2
202110,96.5
202111,66.9
202112,54.6
202201,55.6
202202,55.5
202203,55.9
202204,61.3
202205,59.7
202206,41.6
202207,33.0
202208,31.9
202209,24.9
202210,23.0
202211,19.9
202212,20.5
202301,20.9
202302,25.1
202303,26.7
202304,28.2
202305,32.2
202306,33.8
202307,38.0
202308,46.0
202309,41.4
202310,36.9
202311,26.1
202312,20.7
202401,26.3
202402,25.6
202403,29.7
202404,33.0
202405,32.1
202406,47.1
202407,68.0
202408,68.8
202409,57.8
202410,45.6
202411,40.5
202412,36.8
202501,35.4
202502,44.2
202503,69.4
202504,51.5
202505,59.6
202506,95.1
202507,55.2
