"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","서울특별시 영등포구 양평동3가","17-1","0017","0001","양평동 우림보보카운티 오피스텔","전세","25.4200","202312","31","12,000","0","10","2003","양산로7길 3","202402~202505","신규","-","",""
"2","서울특별시 강서구 화곡동","987-7","0987","0007","원타워 5차 오피스텔","전세","17.0400","202312","31","17,000","0","15","2021","화곡로 289","202401~202601","신규","-","",""
"3","서울특별시 강서구 마곡동","760","0760","0000","마곡나루역보타닉푸르지오시티","전세","32.8800","202312","31","30,000","0","10","2017"," ","202402~202602","신규","-","",""
"4","서울특별시 영등포구 영등포동8가","59-2","0059","0002","신현빌","전세","28.8600","202312","31","30,000","0","10","2023","영중로 134","202401~202601","신규","-","",""
"5","서울특별시 송파구 거여동","563-10","0563","0010","거여팰리스","전세","35.3400","202312","31","26,000","0","6","2019","오금로54길 38","202402~202602","신규","-","",""
"6","서울특별시 송파구 거여동","605-3","0605","0003","송파헤븐시티 더 테라스","전세","38.2600","202312","30","32,000","0","4","2021"," ","202401~202601","신규","-","",""
"7","서울특별시 강동구 강일동","677-4","0677","0004","유러피안하우스I","전세","13.4400","202312","30","7,000","0","9","2013","아리수로91길 32","202402~202601","신규","-","",""
"8","서울특별시 강서구 등촌동","633-24","0633","0024","등촌동 Y HAUS 오피스텔","전세","28.3000","202312","30","27,200","0","15","2020","공항대로59다길 39","202401~202601","신규","-","",""
"9","서울특별시 강서구 화곡동","987-1","0987","0001","강서구청 파크뷰 에버","전세","15.4300","202312","30","15,000","0","18","2020","화곡로 297","202402~202602","신규","-","",""
"10","서울특별시 강서구 화곡동","987-1","0987","0001","강서구청 파크뷰 에버","전세","15.4300","202312","30","14,000","0","11","2020","화곡로 297","202401~202601","신규","-","",""
